final_kills,secondary_uniques,staff_pieces,total_drops,drop_rate,staff_drop_rate,kill_time_mins,total_log_hours,staff_gp,staff_gp_per_hour,quant
1006,9,3,12,83.83333333333333,335.3333333333333,2012,33.53333333333333,1000000000,29.821073558648113,3
1467,9,4,13,112.84615384615384,366.75,2934,48.9,1333333333.3333333,27.266530334015,3
1735,12,3,15,115.66666666666667,578.3333333333334,3470,57.833333333333336,1000000000,17.291066282420747,4
2064,16,4,20,103.2,516,4128,68.8,1333333333.3333333,19.37984496124031,4
2510,18,3,21,119.52380952380952,836.6666666666666,5020,83.66666666666667,1000000000,11.952191235059761,4
907,3,3,6,151.16666666666666,302.3333333333333,1814,30.233333333333334,1000000000,33.0760749724366,2
1229,7,4,11,111.72727272727273,307.25,2458,40.96666666666667,1333333333.3333333,32.546786004882016,3
1183,4,3,7,169,394.3333333333333,2366,39.43333333333333,1000000000,25.3592561284869,3
1564,7,4,11,142.1818181818182,391,3128,52.13333333333333,1333333333.3333333,25.57544757033248,3
1912,7,3,10,191.2,637.3333333333334,3824,63.733333333333334,1000000000,15.690376569037657,4
1977,19,3,22,89.86363636363636,659,3954,65.9,1000000000,15.17450682852807,4
1606,11,3,14,114.71428571428571,535.3333333333334,3212,53.53333333333333,1000000000,18.679950186799505,4
849,4,3,7,121.28571428571429,283,1698,28.3,1000000000,35.3356890459364,2
1072,4,3,7,153.14285714285714,357.3333333333333,2144,35.733333333333334,1000000000,27.98507462686567,3
1217,4,3,7,173.85714285714286,405.6666666666667,2434,40.56666666666667,1000000000,24.650780608052585,3
1831,10,3,13,140.84615384615384,610.3333333333334,3662,61.03333333333333,1000000000,16.38448935008192,4
1618,11,4,15,107.86666666666666,404.5,3236,53.93333333333333,1333333333.3333333,24.721878862793574,4
1989,7,10,17,117,198.9,3978,66.3,3333333333.333333,50.27652086475616,4
885,8,3,11,80.45454545454545,295,1770,29.5,1000000000,33.898305084745765,2
3017,14,3,17,177.47058823529412,1005.6666666666666,6034,100.56666666666666,1000000000,9.943652635067949,5
2081,11,3,14,148.64285714285714,693.6666666666666,4162,69.36666666666666,1000000000,14.416146083613649,4
1231,9,4,13,94.6923076923077,307.75,2462,41.03333333333333,1333333333.3333333,32.49390739236393,3
1228,9,4,13,94.46153846153847,307,2456,40.93333333333333,1333333333.3333333,32.57328990228013,3
1016,6,3,9,112.88888888888889,338.6666666666667,2032,33.86666666666667,1000000000,29.52755905511811,3
2560,17,8,25,102.4,320,5120,85.33333333333333,2666666666.6666665,31.25,4
1576,12,3,15,105.06666666666666,525.3333333333334,3152,52.53333333333333,1000000000,19.03553299492386,3
1278,6,4,10,127.8,319.5,2556,42.6,1333333333.3333333,31.298904538341155,3
980,8,3,11,89.0909090909091,326.6666666666667,1960,32.666666666666664,1000000000,30.612244897959187,3
1366,9,3,12,113.83333333333333,455.3333333333333,2732,45.53333333333333,1000000000,21.96193265007321,3
1205,9,3,12,100.41666666666667,401.6666666666667,2410,40.166666666666664,1000000000,24.896265560165975,3
1115,3,3,6,185.83333333333334,371.6666666666667,2230,37.166666666666664,1000000000,26.90582959641256,3
1131,6,5,11,102.81818181818181,226.2,2262,37.7,1666666666.6666665,44.208664898320066,3
1265,7,3,10,126.5,421.6666666666667,2530,42.166666666666664,1000000000,23.715415019762847,3
3180,15,3,18,176.66666666666666,1060,6360,106,1000000000,9.433962264150944,5
2468,8,3,11,224.36363636363637,822.6666666666666,4936,82.26666666666667,1000000000,12.155591572123177,4
1399,7,3,10,139.9,466.3333333333333,2798,46.63333333333333,1000000000,21.44388849177984,3
1519,8,3,11,138.0909090909091,506.3333333333333,3038,50.63333333333333,1000000000,19.74983541803818,3
2263,16,3,19,119.10526315789474,754.3333333333334,4526,75.43333333333334,1000000000,13.256738842244808,4
855,8,3,11,77.72727272727273,285,1710,28.5,1000000000,35.08771929824562,2
1385,5,3,8,173.125,461.6666666666667,2770,46.166666666666664,1000000000,21.660649819494587,3
1959,9,3,12,163.25,653,3918,65.3,1000000000,15.31393568147014,4
1744,14,3,17,102.58823529411765,581.3333333333334,3488,58.13333333333333,1000000000,17.201834862385322,4
2618,15,3,18,145.44444444444446,872.6666666666666,5236,87.26666666666667,1000000000,11.45912910618793,4
2114,10,3,13,162.6153846153846,704.6666666666666,4228,70.46666666666667,1000000000,14.191106906338694,4
1978,10,3,13,152.15384615384616,659.3333333333334,3956,65.93333333333334,1000000000,15.166835187057632,4
1022,9,3,12,85.16666666666667,340.6666666666667,2044,34.06666666666667,1000000000,29.354207436399214,3
1672,11,3,14,119.42857142857143,557.3333333333334,3344,55.733333333333334,1000000000,17.942583732057415,4
2111,5,4,9,234.55555555555554,527.75,4222,70.36666666666666,1333333333.3333333,18.948365703458077,4
5032,18,9,27,186.37037037037038,559.1111111111111,10064,167.73333333333332,3000000000,17.885532591414947,6
840,7,3,10,84,280,1680,28,1000000000,35.714285714285715,2
2456,10,6,16,153.5,409.3333333333333,4912,81.86666666666666,2000000000,24.4299674267101,4
1871,12,3,15,124.73333333333333,623.6666666666666,3742,62.36666666666667,1000000000,16.034206306787812,4
1661,11,4,15,110.73333333333333,415.25,3322,55.36666666666667,1333333333.3333333,24.081878386514145,4
1932,11,4,15,128.8,483,3864,64.4,1333333333.3333333,20.703933747412005,4
1298,5,4,9,144.22222222222223,324.5,2596,43.266666666666666,1333333333.3333333,30.81664098613251,3
1490,11,6,17,87.6470588235294,248.33333333333334,2980,49.666666666666664,2000000000,40.26845637583893,3
2969,12,3,15,197.93333333333334,989.6666666666666,5938,98.96666666666667,1000000000,10.10441226002021,5
2931,5,9,14,209.35714285714286,325.6666666666667,5862,97.7,3000000000,30.706243602865914,5
3941,19,3,22,179.13636363636363,1313.6666666666667,7882,131.36666666666667,1000000000,7.6122811469170255,5
3056,15,3,18,169.77777777777777,1018.6666666666666,6112,101.86666666666666,1000000000,9.816753926701573,5
1912,3,5,8,239,382.4,3824,63.733333333333334,1666666666.6666665,26.15062761506276,4
