final_kills,secondary_uniques,staff_pieces,total_drops,drop_rate,staff_drop_rate,kill_time_mins,total_log_hours,staff_gp,staff_gp_per_hour
452,5,6,11,41.09090909090909,75.33333333333333,2260,37.666666666666664,6000000000,159.2920353982301
426,8,3,11,38.72727272727273,142,2130,35.5,3000000000,84.50704225352113
574,16,7,23,24.956521739130434,82,2870,47.833333333333336,7000000000,146.34146341463415
489,7,4,11,44.45454545454545,122.25,2445,40.75,4000000000,98.15950920245399
639,13,3,16,39.9375,213,3195,53.25,3000000000,56.33802816901408
772,14,6,20,38.6,128.66666666666666,3860,64.33333333333333,6000000000,93.26424870466322
960,10,9,19,50.526315789473685,106.66666666666667,4800,80,9000000000,112.5
610,11,3,14,43.57142857142857,203.33333333333334,3050,50.833333333333336,3000000000,59.01639344262294
965,17,5,22,43.86363636363637,193,4825,80.41666666666667,5000000000,62.1761658031088
460,3,3,6,76.66666666666667,153.33333333333334,2300,38.333333333333336,3000000000,78.26086956521739
572,8,3,11,52,190.66666666666666,2860,47.666666666666664,3000000000,62.93706293706294
327,9,3,12,27.25,109,1635,27.25,3000000000,110.09174311926604
625,8,8,16,39.0625,78.125,3125,52.083333333333336,8000000000,153.6
935,11,4,15,62.333333333333336,233.75,4675,77.91666666666667,4000000000,51.33689839572192
1092,21,3,24,45.5,364,5460,91,3000000000,32.967032967032964
494,8,3,11,44.90909090909091,164.66666666666666,2470,41.166666666666664,3000000000,72.87449392712551
229,4,3,7,32.714285714285715,76.33333333333333,1145,19.083333333333332,3000000000,157.2052401746725
1510,29,10,39,38.717948717948715,151,7550,125.83333333333333,10000000000,79.4701986754967
630,11,3,14,45,210,3150,52.5,3000000000,57.14285714285714
588,13,7,20,29.4,84,2940,49,7000000000,142.85714285714286
501,11,3,14,35.785714285714285,167,2505,41.75,3000000000,71.85628742514969
554,7,5,12,46.166666666666664,110.8,2770,46.166666666666664,5000000000,108.30324909747294
457,10,3,13,35.15384615384615,152.33333333333334,2285,38.083333333333336,3000000000,78.77461706783369
1021,28,3,31,32.935483870967744,340.3333333333333,5105,85.08333333333333,3000000000,35.259549461312446
511,8,3,11,46.45454545454545,170.33333333333334,2555,42.583333333333336,3000000000,70.45009784735812
836,14,3,17,49.1764705882353,278.6666666666667,4180,69.66666666666667,3000000000,43.0622009569378
338,7,6,13,26,56.333333333333336,1690,28.166666666666668,6000000000,213.01775147928993
666,12,3,15,44.4,222,3330,55.5,3000000000,54.05405405405405
1354,32,7,39,34.717948717948715,193.42857142857142,6770,112.83333333333333,7000000000,62.0384047267356
793,7,4,11,72.0909090909091,198.25,3965,66.08333333333333,4000000000,60.529634300126105
614,11,3,14,43.857142857142854,204.66666666666666,3070,51.166666666666664,3000000000,58.63192182410423
683,8,3,11,62.09090909090909,227.66666666666666,3415,56.916666666666664,3000000000,52.7086383601757
734,6,3,9,81.55555555555556,244.66666666666666,3670,61.166666666666664,3000000000,49.04632152588556
811,16,4,20,40.55,202.75,4055,67.58333333333333,4000000000,59.1861898890259
362,6,3,9,40.22222222222222,120.66666666666667,1810,30.166666666666668,3000000000,99.4475138121547
504,7,4,11,45.81818181818182,126,2520,42,4000000000,95.23809523809524
552,6,3,9,61.333333333333336,184,2760,46,3000000000,65.21739130434783
507,10,4,14,36.214285714285715,126.75,2535,42.25,4000000000,94.67455621301775
968,10,9,19,50.94736842105263,107.55555555555556,4840,80.66666666666667,9000000000,111.57024793388429
412,5,3,8,51.5,137.33333333333334,2060,34.333333333333336,3000000000,87.37864077669902
235,6,3,9,26.11111111111111,78.33333333333333,1175,19.583333333333332,3000000000,153.19148936170214
581,12,4,16,36.3125,145.25,2905,48.416666666666664,4000000000,82.61617900172118
339,3,4,7,48.42857142857143,84.75,1695,28.25,4000000000,141.5929203539823
645,12,3,15,43,215,3225,53.75,3000000000,55.81395348837209
1432,24,3,27,53.03703703703704,477.3333333333333,7160,119.33333333333333,3000000000,25.139664804469277
719,5,4,9,79.88888888888889,179.75,3595,59.916666666666664,4000000000,66.75938803894297
633,12,3,15,42.2,211,3165,52.75,3000000000,56.87203791469194
547,4,4,8,68.375,136.75,2735,45.583333333333336,4000000000,87.75137111517367
387,7,3,10,38.7,129,1935,32.25,3000000000,93.02325581395348
906,9,7,16,56.625,129.42857142857142,4530,75.5,7000000000,92.71523178807946
658,8,3,11,59.81818181818182,219.33333333333334,3290,54.833333333333336,3000000000,54.7112462006079
581,11,3,14,41.5,193.66666666666666,2905,48.416666666666664,3000000000,61.96213425129088
813,17,3,20,40.65,271,4065,67.75,3000000000,44.28044280442804
834,12,3,15,55.6,278,4170,69.5,3000000000,43.165467625899275
492,8,4,12,41,123,2460,41,4000000000,97.5609756097561
650,12,3,15,43.333333333333336,216.66666666666666,3250,54.166666666666664,3000000000,55.38461538461539
417,7,3,10,41.7,139,2085,34.75,3000000000,86.33093525179855
474,4,3,7,67.71428571428571,158,2370,39.5,3000000000,75.94936708860759
828,13,8,21,39.42857142857143,103.5,4140,69,8000000000,115.94202898550725
815,17,3,20,40.75,271.6666666666667,4075,67.91666666666667,3000000000,44.17177914110429
609,9,3,12,50.75,203,3045,50.75,3000000000,59.11330049261083
365,7,3,10,36.5,121.66666666666667,1825,30.416666666666668,3000000000,98.63013698630137
442,5,7,12,36.833333333333336,63.142857142857146,2210,36.833333333333336,7000000000,190.04524886877826
864,13,3,16,54,288,4320,72,3000000000,41.666666666666664
988,17,3,20,49.4,329.3333333333333,4940,82.33333333333333,3000000000,36.43724696356276
1065,21,3,24,44.375,355,5325,88.75,3000000000,33.80281690140845
488,6,3,9,54.22222222222222,162.66666666666666,2440,40.666666666666664,3000000000,73.7704918032787
350,8,3,11,31.818181818181817,116.66666666666667,1750,29.166666666666668,3000000000,102.85714285714285
384,4,3,7,54.857142857142854,128,1920,32,3000000000,93.75
700,9,5,14,50,140,3500,58.333333333333336,5000000000,85.71428571428572
533,5,4,9,59.22222222222222,133.25,2665,44.416666666666664,4000000000,90.0562851782364
